Rx 0.168596 1 3 3 1454 566149
Rx 0.168596 1 3 3 1454 481684
Rx 0.168596 1 3 3 1454 480489
Rx 0.168596 1 3 3 1454 479294
Rx 0.168596 1 3 3 1454 478099
Rx 0.168596 1 3 3 1454 476904
Rx 0.168596 1 3 3 1454 475709
Rx 0.168596 1 3 3 1454 474514
Rx 0.168596 1 3 3 1454 473319
Rx 0.168654 1 3 3 1454 530524
Rx 0.168654 1 3 3 1454 529329
Rx 0.168654 1 3 3 1454 528134
Rx 0.168654 1 3 3 1454 526939
Rx 0.168654 1 3 3 1454 525744
Rx 0.168654 1 3 3 1454 524549
Rx 0.169329 1 3 3 1454 1198394
Rx 0.169329 1 3 3 1454 415124
Rx 0.169329 1 3 3 1454 413929
Rx 0.169329 1 3 3 1454 412734
Rx 0.170412 1 1 3 58 412389
Rx 0.171029 1 6 3 1454 419284
Rx 0.171029 1 6 3 1454 418089
Rx 0.171029 1 6 3 1454 416894
Rx 0.171029 1 6 3 1454 415699
Rx 0.171029 1 6 3 1454 414504
Rx 0.171029 1 6 3 1454 413309
Rx 0.171029 1 6 3 1454 412114
Rx 0.171367 1 2 3 54 453904
Rx 0.171467 1 2 3 1454 552556
Rx 0.171887 1 4 3 1454 477524
Rx 0.171887 1 4 3 1454 476329
Rx 0.171887 1 4 3 1454 475134
Rx 0.171887 1 4 3 1454 473939
Rx 0.171887 1 4 3 1454 472744
Rx 0.171887 1 4 3 1454 471549
Rx 0.171887 1 4 3 1454 470354
Rx 0.171887 1 4 3 1454 469159
Rx 0.171887 1 4 3 1454 467964
Rx 0.171887 1 4 3 1454 466769
Rx 0.17195 1 6 3 1454 435924
Rx 0.17195 1 6 3 1454 434729
Rx 0.17195 1 6 3 1454 433534
Rx 0.17195 1 6 3 1454 432339
Rx 0.17195 1 6 3 1454 431144
Rx 0.17195 1 6 3 1454 429949
Rx 0.17195 1 6 3 1454 428754
Rx 0.17195 1 6 3 1454 427559
Rx 0.17195 1 6 3 1454 426364
Rx 0.17195 1 6 3 1454 425169
Rx 0.17195 1 6 3 1454 423974
Rx 0.17195 1 6 3 1454 422779
Rx 0.171962 1 4 3 1454 540614
Rx 0.172729 1 4 3 1454 1306139
Rx 0.172729 1 4 3 1454 419284
Rx 0.172729 1 4 3 1454 418089
Rx 0.172729 1 4 3 1454 416894
Rx 0.172817 1 6 3 1454 1288304
Rx 0.172817 1 6 3 1454 319444
Rx 0.172817 1 6 3 1454 318249
Rx 0.172817 1 6 3 1454 317054
Rx 0.173792 1 3 3 1454 881684
Rx 0.173792 1 3 3 1454 880489
Rx 0.173792 1 3 3 1454 879294
Rx 0.173792 1 3 3 1454 878099
Rx 0.173792 1 3 3 1454 876904
Rx 0.173792 1 3 3 1454 875709
Rx 0.173792 1 3 3 1454 874514
Rx 0.173792 1 3 3 1454 873319
Rx 0.173792 1 3 3 1454 872124
Rx 0.173792 1 3 3 1454 870929
Rx 0.173792 1 3 3 1454 869734
Rx 0.173792 1 3 3 1454 868539
Rx 0.173792 1 3 3 1454 867344
Rx 0.173792 1 3 3 1454 777524
Rx 0.173792 1 3 3 1454 776329
Rx 0.173792 1 3 3 1454 775134
Rx 0.173792 1 3 3 1454 773939
Rx 0.173792 1 3 3 1454 772744
Rx 0.173792 1 3 3 1454 771549
Rx 0.173792 1 3 3 1454 770354
Rx 0.173792 1 3 3 1454 769159
Rx 0.173792 1 3 3 1454 767964
Rx 0.173792 1 3 3 1454 766769
Rx 0.173792 1 3 3 1454 765574
Rx 0.173792 1 3 3 1454 764379
Rx 0.173792 1 3 3 1454 763184
Rx 0.173792 1 3 3 1454 761989
Rx 0.174254 1 3 3 1454 1223354
Rx 0.174254 1 3 3 1454 427604
Rx 0.174254 1 3 3 1454 426409
Rx 0.174254 1 3 3 1454 425214
Rx 0.174254 1 3 3 1454 424019
Rx 0.174254 1 3 3 1454 422824
Rx 0.174908 1 6 3 1454 2407539
Rx 0.176792 1 4 3 1454 481684
Rx 0.176792 1 4 3 1454 480489
Rx 0.176792 1 4 3 1454 479294
Rx 0.176792 1 4 3 1454 478099
Rx 0.176792 1 4 3 1454 476904
Rx 0.176792 1 4 3 1454 475709
Rx 0.176792 1 4 3 1454 474514
Rx 0.176792 1 4 3 1454 473319
Rx 0.176792 1 4 3 1454 472124
Rx 0.176792 1 4 3 1454 470929
Rx 0.176792 1 4 3 1454 469734
Rx 0.176875 1 6 3 1454 1365044
Rx 0.176875 1 6 3 1454 1363849
Rx 0.176875 1 6 3 1454 1362654
Rx 0.176875 1 6 3 1454 1361459
Rx 0.176875 1 6 3 1454 1360264
Rx 0.176875 1 6 3 1454 1359069
Rx 0.176875 1 6 3 1454 1357874
Rx 0.176875 1 6 3 1454 460884
Rx 0.176875 1 6 3 1454 459689
Rx 0.176875 1 6 3 1454 458494
Rx 0.176875 1 6 3 1454 457299
Rx 0.176875 1 6 3 1454 456104
Rx 0.176875 1 6 3 1454 454909
Rx 0.176875 1 6 3 1454 453714
Rx 0.176875 1 6 3 1454 452519
Rx 0.176875 1 6 3 1454 451324
Rx 0.176875 1 6 3 1454 450129
Rx 0.176875 1 6 3 1454 448934
Rx 0.176875 1 6 3 1454 447739
Rx 0.177637 1 4 3 1454 1314459
Rx 0.177637 1 4 3 1454 427604
Rx 0.177637 1 4 3 1454 426409
Rx 0.177637 1 4 3 1454 425214
Rx 0.177637 1 4 3 1454 424019
Rx 0.177717 1 6 3 1454 1288304
Rx 0.177717 1 6 3 1454 319444
Rx 0.177717 1 6 3 1454 318249
Rx 0.177717 1 6 3 1454 317054
Rx 0.177808 1 6 3 1454 407539
Rx 0.178496 1 3 3 1454 485844
Rx 0.178496 1 3 3 1454 484649
Rx 0.178496 1 3 3 1454 483454
Rx 0.178496 1 3 3 1454 482259
Rx 0.178496 1 3 3 1454 481064
Rx 0.178496 1 3 3 1454 479869
Rx 0.178496 1 3 3 1454 478674
Rx 0.178496 1 3 3 1454 477479
Rx 0.178496 1 3 3 1454 476284
Rx 0.178496 1 3 3 1454 475089
Rx 0.178496 1 3 3 1454 473894
Rx 0.178517 1 3 3 1454 493659
Rx 0.178696 1 3 3 1454 671504
Rx 0.178696 1 3 3 1454 427604
Rx 0.178696 1 3 3 1454 426409
Rx 0.178696 1 3 3 1454 425214
Rx 0.178696 1 3 3 1454 424019
Rx 0.178696 1 3 3 1454 422824
Rx 0.178696 1 3 3 1454 421629
Rx 0.178696 1 3 3 1454 420434
Rx 0.178696 1 3 3 1454 419239
Rx 0.178696 1 3 3 1454 418044
Rx 0.178696 1 3 3 1454 416849
Rx 0.178696 1 3 3 1454 415654
Rx 0.178725 1 3 3 1454 443739
Rx 0.178725 1 3 3 1454 442544
Rx 0.179162 1 3 3 1454 878789
Rx 0.179162 1 3 3 1454 427604
Rx 0.179162 1 3 3 1454 426409
Rx 0.179162 1 3 3 1454 425214
Rx 0.179162 1 3 3 1454 424019
Rx 0.179162 1 3 3 1454 422824
Rx 0.179162 1 3 3 1454 421629
Rx 0.179308 1 3 3 1454 566354
Rx 0.179808 1 6 3 1454 398484
Rx 0.181696 1 4 3 1454 485844
Rx 0.181696 1 4 3 1454 484649
Rx 0.181696 1 4 3 1454 483454
Rx 0.181696 1 4 3 1454 482259
Rx 0.181696 1 4 3 1454 481064
Rx 0.181696 1 4 3 1454 479869
Rx 0.181696 1 4 3 1454 478674
Rx 0.181696 1 4 3 1454 477479
Rx 0.181696 1 4 3 1454 476284
Rx 0.181696 1 4 3 1454 475089
Rx 0.181696 1 4 3 1454 473894
Rx 0.181779 1 6 3 1454 465044
Rx 0.181779 1 6 3 1454 463849
Rx 0.181779 1 6 3 1454 462654
Rx 0.181779 1 6 3 1454 461459
Rx 0.181779 1 6 3 1454 460264
Rx 0.181779 1 6 3 1454 459069
Rx 0.181779 1 6 3 1454 457874
Rx 0.181779 1 6 3 1454 456679
Rx 0.181779 1 6 3 1454 455484
Rx 0.181779 1 6 3 1454 454289
Rx 0.181779 1 6 3 1454 453094
Rx 0.181779 1 6 3 1454 451899
Rx 0.181779 1 6 3 1454 450704
Rx 0.181779 1 6 3 1454 449509
Rx 0.181779 1 6 3 1454 448314
Rx 0.181779 1 6 3 1454 447119
Rx 0.181779 1 6 3 1454 445924
Rx 0.181779 1 6 3 1454 444729
Rx 0.181779 1 6 3 1454 443534
Rx 0.182554 1 4 3 1454 1331099
Rx 0.182554 1 4 3 1454 444244
Rx 0.182554 1 4 3 1454 443049
Rx 0.182554 1 4 3 1454 441854
Rx 0.182554 1 4 3 1454 440659
Rx 0.182554 1 4 3 1454 439464
Rx 0.182554 1 4 3 1454 438269
Rx 0.182625 1 6 3 1454 1288259
Rx 0.182625 1 6 3 1454 415124
Rx 0.182625 1 6 3 1454 413929
Rx 0.182625 1 6 3 1454 412734
Rx 0.182625 1 6 3 1454 411539
Rx 0.182625 1 6 3 1454 410344
Rx 0.183796 1 3 3 1454 885844
Rx 0.183796 1 3 3 1454 884649
Rx 0.183796 1 3 3 1454 883454
Rx 0.183796 1 3 3 1454 882259
Rx 0.183796 1 3 3 1454 881064
Rx 0.183796 1 3 3 1454 879869
Rx 0.183796 1 3 3 1454 878674
Rx 0.183796 1 3 3 1454 877479
Rx 0.183796 1 3 3 1454 876284
Rx 0.183796 1 3 3 1454 875089
Rx 0.183796 1 3 3 1454 873894
Rx 0.183896 1 3 3 1454 972699
Rx 0.183896 1 3 3 1454 971504
Rx 0.183896 1 3 3 1454 885844
Rx 0.183896 1 3 3 1454 884649
Rx 0.183896 1 3 3 1454 883454
Rx 0.183896 1 3 3 1454 882259
Rx 0.183896 1 3 3 1454 881064
Rx 0.183896 1 3 3 1454 879869
Rx 0.183896 1 3 3 1454 878674
Rx 0.183896 1 3 3 1454 877479
Rx 0.183896 1 3 3 1454 876284
Rx 0.183896 1 3 3 1454 875089
Rx 0.183896 1 3 3 1454 873894
Rx 0.183896 1 3 3 1454 872699
Rx 0.184075 1 3 3 1454 1050704
Rx 0.184075 1 3 3 1454 431764
Rx 0.184075 1 3 3 1454 430569
Rx 0.184075 1 3 3 1454 429374
Rx 0.184075 1 3 3 1454 428179
Rx 0.184075 1 3 3 1454 426984
Rx 0.184075 1 3 3 1454 425789
Rx 0.184075 1 3 3 1454 424594
Rx 0.184075 1 3 3 1454 423399
Rx 0.184408 1 3 3 1454 755644
Rx 0.184708 1 6 3 1454 398484
Rx 0.186596 1 4 3 1454 485844
Rx 0.186596 1 4 3 1454 484649
Rx 0.186596 1 4 3 1454 483454
Rx 0.186596 1 4 3 1454 482259
Rx 0.186596 1 4 3 1454 481064
Rx 0.186667 1 6 3 1454 452564
Rx 0.186667 1 6 3 1454 451369
Rx 0.186667 1 6 3 1454 450174
Rx 0.186667 1 6 3 1454 448979
Rx 0.186667 1 6 3 1454 447784
Rx 0.186667 1 6 3 1454 446589
Rx 0.186667 1 6 3 1454 445394
Rx 0.186667 1 6 3 1454 444199
Rx 0.186696 1 4 3 1454 579869
Rx 0.186696 1 4 3 1454 578674
Rx 0.186696 1 4 3 1454 577479
Rx 0.186696 1 4 3 1454 576284
Rx 0.186746 1 6 3 1454 522204
Rx 0.186746 1 6 3 1454 521009
Rx 0.186746 1 6 3 1454 519814
Rx 0.186746 1 6 3 1454 518619
Rx 0.186746 1 6 3 1454 517424
Rx 0.186746 1 6 3 1454 516229
Rx 0.186746 1 6 3 1454 515034
Rx 0.186746 1 6 3 1454 513839
Rx 0.186746 1 6 3 1454 512644
Rx 0.186746 1 6 3 1454 511449
Rx 0.186746 1 6 3 1454 510254
Rx 0.186758 1 4 3 1454 637649
Rx 0.187471 1 4 3 1454 1348934
Rx 0.187471 1 4 3 1454 460884
Rx 0.187471 1 4 3 1454 459689
Rx 0.187471 1 4 3 1454 458494
Rx 0.187471 1 4 3 1454 457299
Rx 0.187471 1 4 3 1454 456104
Rx 0.187471 1 4 3 1454 454909
Rx 0.187471 1 4 3 1454 453714
Rx 0.187525 1 6 3 1454 1288259
Rx 0.187525 1 6 3 1454 415124
Rx 0.187525 1 6 3 1454 413929
Rx 0.187525 1 6 3 1454 412734
Rx 0.187525 1 6 3 1454 411539
Rx 0.187525 1 6 3 1454 410344
Rx 0.187525 1 6 3 1454 409149
Rx 0.188492 1 3 3 1454 410964
Rx 0.188492 1 3 3 1454 409769
